#####################################################################
# Alchemist log file - simulation started at: 2023-05-15T20:02+0000 #
#####################################################################
#
# device_count = 100, battery_discharge_time = 6, balance = [40, 60], epi_ratio = 3, cloud_epi = 300, seed = 2.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] isMoving[sum] distance[sum] distance[mean] cloudCost instances 
0.0000 100.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 100.0 0.0000 0.0000 0.0000 0.0000
0.0000 100.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 100.0 0.0000 0.0000 0.0000 0.0000
120.01 68.0 32.0 57.508 344.49 297.00 638.91 0.0 100.0 16.508 0.16508 0.40000 2.0000
240.01 68.0 32.0 56.739 344.17 297.00 640.03 0.0 100.0 33.109 0.33109 0.40000 2.0000
360.01 68.0 32.0 55.970 342.34 297.00 640.07 0.0 100.0 49.164 0.49164 0.40000 2.0000
480.01 68.0 32.0 55.200 340.85 297.00 640.30 0.0 100.0 64.626 0.64626 0.40000 2.0000
600.01 68.0 32.0 54.430 344.69 297.00 640.41 0.0 100.0 79.701 0.79701 0.40000 2.0000
720.01 68.0 32.0 53.661 341.35 297.00 640.72 0.0 100.0 94.438 0.94438 0.40000 2.0000
840.01 66.0 34.0 52.895 340.04 315.56 658.11 0.0 100.0 107.95 1.0795 0.40000 2.0000
960.01 61.0 39.0 52.147 331.94 361.97 691.56 0.0 100.0 120.47 1.2047 0.40000 2.0000
1080.0 61.0 39.0 51.406 330.00 361.97 693.31 0.0 100.0 132.43 1.3243 0.40000 2.0000
1200.0 61.0 39.0 50.666 329.87 361.97 690.21 0.0 100.0 144.60 1.4460 0.40000 2.0000
1320.0 61.0 39.0 49.925 331.23 361.97 689.44 0.0 100.0 156.51 1.5651 0.40000 2.0000
1440.0 61.0 39.0 49.185 326.84 361.97 690.50 0.0 100.0 168.28 1.6828 0.40000 2.0000
1560.0 60.0 40.0 48.446 327.82 371.25 698.50 0.0 100.0 180.55 1.8055 0.40000 2.0000
1680.0 59.0 41.0 47.713 326.63 380.53 707.56 0.0 100.0 193.18 1.9318 0.40000 2.0000
1800.0 58.0 42.0 46.985 326.12 389.81 712.36 0.0 100.0 205.07 2.0507 0.40000 2.0000
1920.0 58.0 42.0 46.257 323.51 389.81 711.39 0.0 100.0 216.22 2.1622 0.40000 2.0000
2040.0 58.0 42.0 45.529 323.41 389.81 710.01 0.0 100.0 226.56 2.2656 0.40000 2.0000
2160.0 55.0 45.0 44.809 318.58 417.66 734.64 0.0 100.0 236.52 2.3652 0.60000 3.0000
2280.0 53.0 47.0 44.099 310.75 436.22 750.94 0.0 100.0 246.36 2.4636 0.60000 3.0000
2400.0 51.0 49.0 43.394 310.77 454.78 765.53 0.0 100.0 256.39 2.5639 0.60000 3.0000
2520.0 48.0 52.0 42.704 303.92 482.63 787.60 0.0 100.0 266.74 2.6674 0.60000 3.0000
2640.0 47.0 53.0 42.019 303.99 491.91 797.72 0.0 100.0 276.92 2.7692 0.60000 3.0000
2760.0 46.0 54.0 41.340 302.85 501.19 802.67 0.0 100.0 287.74 2.8774 0.60000 3.0000
2880.0 45.0 55.0 40.666 301.69 510.47 812.01 0.0 100.0 299.42 2.9942 0.60000 3.0000
3000.0 45.0 55.0 40.005 296.40 491.91 786.69 1.0 99.0 310.87 3.1087 0.60000 3.0000
3120.0 44.0 56.0 39.375 294.70 501.19 796.41 1.0 99.0 322.79 3.2279 0.60000 3.0000
3240.0 44.0 56.0 38.749 294.77 501.19 797.11 1.0 99.0 335.29 3.3529 0.60000 3.0000
3360.0 43.0 57.0 38.126 289.45 501.19 789.57 1.0 99.0 347.25 3.4725 0.60000 3.0000
3480.0 43.0 57.0 37.510 290.25 501.19 791.90 1.0 99.0 357.90 3.5790 0.60000 3.0000
3600.0 42.0 58.0 36.895 288.07 510.47 799.05 1.0 99.0 367.88 3.6788 0.60000 3.0000
3720.0 40.0 60.0 36.295 282.38 519.75 802.48 2.0 98.0 378.43 3.7843 0.60000 3.0000
3840.0 39.0 61.0 35.730 277.88 529.03 807.44 2.0 98.0 388.66 3.8866 0.60000 3.0000
3960.0 39.0 61.0 35.173 277.81 510.47 784.47 2.0 98.0 398.08 3.9808 0.60000 3.0000
4080.0 37.0 63.0 34.620 272.65 529.03 801.80 2.0 98.0 407.84 4.0784 0.60000 3.0000
4200.0 36.0 64.0 34.078 271.71 538.31 809.95 2.0 98.0 418.04 4.1804 0.60000 3.0000
4320.0 33.0 67.0 33.541 264.36 566.16 827.83 2.0 98.0 428.40 4.2840 0.60000 3.0000
4440.0 33.0 67.0 33.013 265.75 566.16 832.50 2.0 98.0 439.62 4.3962 0.60000 3.0000
4560.0 32.0 68.0 32.486 264.62 575.44 835.86 2.0 98.0 451.50 4.5150 0.60000 3.0000
4680.0 32.0 68.0 31.962 263.59 575.44 839.48 2.0 98.0 463.13 4.6313 0.60000 3.0000
